Date Time,Days,Open Price pence,Close Price pence,High Price pence,Low Price pence,Volume Shares,Volume GBP,Share Issue,New Shares,Total Shares Outstanding,Market Cap,BTC Price GBP,BTC Balance,Bitcoin Buy,New BTC,New BTC Cost,BTC AV,New Shares Raise,BTC Sats Per Share,Sats Per Share Value,Cash,Actual MNAV,Adjusted MNAV,Yield To Date,Yield Daily,Days To Cover MNAV,Tenny,Tenny Update,Tenny Price
2025-04-25 10:00:00,0,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,0,0,0,0,146901357,4260139.49309605,70383.4928162461,2.3,0,0,0,73834,0,1.5656764831655,0.0011019777950544,1130000,26.3163206044832,3.2976226797032,0,0,0,BUY,4,4
2025-04-25 10:00:00,0,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,0,0,0,0,146901357,4260139.49309605,70383.4928162461,2.3,0,0,0,73834,0,1.5656764831655,0.0011019777950544,1130000,26.3163206044832,3.2976226797032,0,0,0,BUY,4,4
2025-04-25 12:00:00,0.0833333333333333,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,51812,1502.54804941177,0,0,146901357,4260139.49309605,70383.4928162461,2.3,0,0,0,73834,0,1.5656764831655,0.0011019777950544,1130000,26.3163206044832,3.2976226797032,0,0,0,BUY,0,4
2025-04-25 13:00:00,0.125,2.90000009536743,2.99000000953674,2.99000000953674,2.90000009536743,11567,345.853301103115,0,0,146901357,4392350.5883096,71078.9590291976,2.3,0,0,0,73834,0,1.5656764831655,0.0011128665459989,1130000,26.867552271083,3.39575806004951,0,0,0,BUY,0,4
2025-04-25 14:00:00,0.166666666666667,3.49000000953674,4.15000009536743,4.15000009536743,3.49000000953674,99526,4130.32909491539,0,0,146901357,6096406.45559605,70898.359019321,2.3,0,0,0,73834,0,1.5656764831655,0.0011100389341157,1130000,37.3860769007464,4.7146900400142,0,0,0,BUY,0,4
2025-04-25 15:00:00,0.208333333333333,4.98999977111816,4.94999980926514,4.98999977111816,4.94999980926514,39630,1961.68492441177,0,0,146901357,7271616.8913079,71013.5161069596,2.3,0,0,0,73834,0,1.5656764831655,0.0011118419215556,1130000,44.5207156997592,5.62239395939706,0,0,0,BUY,0,4
2025-04-25 16:00:00,0.25,4.75,4.69999980926514,4.75,4.69999980926514,41796,1964.41192028046,0,0,146901357,6904363.4988079,71758.8224967551,2.3,0,0,0,73834,0,1.5656764831655,0.0011235110084281,1130000,41.8331442594461,5.33136836435875,0,0,0,BUY,0,4
2025-04-28 08:00:00,2.91666666666667,4.69999980926514,3.59999990463257,5.30000019073486,3.59999990463257,117784,4240.22388767242,0,0,146901357,5288448.71190395,71137.1936821619,2.3,0,0,0,73834,0,1.5656764831655,0.0011137783122655,1130000,32.3224098098114,4.08811468788182,0,0,0,BUY,0,4
2025-04-28 09:00:00,2.95833333333333,3.5,3.34999990463257,3.5,3.34999990463257,88000,2947.99991607666,0,0,146901357,4921195.31940395,71188.4659470045,2.3,0,0,0,73834,0,1.5656764831655,0.0011145810700585,1130000,30.0561349427606,3.80387106551447,0,0,0,BUY,0,4
2025-04-28 10:00:00,3,3.95000004768372,3.20000004768372,3.95000004768372,3.09999990463257,223978,7167.29610680103,0,0,146901357,4700843.49404803,71065.4015524134,2.3,0,0,0,73834,0,1.5656764831655,0.0011126542797732,1130000,28.760056972376,3.63434377412891,0,0,0,BUY,0,4
